CODIGO_INTERNO;             ;             FAB;             VALIDADE      ;             ESTOQUE     
6536         ;BR144162                      ;110522    ;300424    ;1000      
6536         ;BR144887                      ;250422    ;300324    ;4208      
6536         ;BR145820                      ;150622    ;300524    ;2224      
6686         ;BB-002/22                     ;070322    ;280224    ;336       
6717         ;22H27M                        ;090822    ;090824    ;1548      
6717         ;22I72U                        ;190922    ;300924    ;19        
6717         ;22J099                        ;200922    ;200924    ;1920      
6717         ;22J100                        ;200922    ;200924    ;1764      
6717         ;22J102                        ;290922    ;290924    ;1512      
6732         ;220774                        ;010922    ;010924    ;17        
6750         ;0014433                       ;140622    ;300624    ;34        
6750         ;0015880                       ;160822    ;300824    ;60        
6751         ;0014417                       ;140622    ;300624    ;27        
6752         ;22050110                      ;010522    ;300524    ;298       
6765         ;0015948                       ;190822    ;300824    ;495       
6787         ;21003520                      ;250621    ;300623    ;8         
6787         ;21003576                      ;290621    ;300623    ;7         
6885         ;21K636                        ;281021    ;301023    ;4         
6895         ;0016043                       ;010922    ;300924    ;550       
6895         ;0016389                       ;090922    ;300924    ;560       
6895         ;0016390                       ;090922    ;300924    ;540       
6895         ;0016391                       ;090922    ;300924    ;530       
6895         ;0016392                       ;090922    ;300924    ;550       
6895         ;0016393                       ;090922    ;300924    ;540       
6895         ;0016394                       ;090922    ;300924    ;560       
6895         ;0016396                       ;090922    ;300924    ;540       
